2012 04 12 10 56 36	1334242596009	bubble
2012 04 12 10 57 35	1334242655311	milk
2012 04 12 10 58 18	1334242698296	board games
2012 04 12 10 58 56	1334242736272	atmosphere
2012 04 12 11 01 27	1334242887649	bubble
2012 04 12 11 01 32	1334242892089	bubble tea
